id,text,label,label_text
9c825ecb4b,But i dont mind the long line when theres a super cutie in front of me. Too bad he`s wearing a **** bracelet with a girls name on it,1,neutral
17fcf9a88f, glad u feel like cooking I`m so tired,1,neutral
67e69018ab,Really? I can only go in 1Direction at a time?! UGh!  Gotta take authority over the time 2day!  Say hello! Don`t be a stranger! BeBlessed!,1,neutral
1e4a899d6e,Didn`t make to my cousin`s yacht convention. Hope he doesn`t get upset. And hope he won.,2,positive
efe8ee16b9,Sitting on the decking reading psychology notes with my ipod and my dog. It`s far too warm,0,negative
17f403bfbd,http://twitpic.com/4w5sy - my babe,1,neutral
53f412095b, I luv urs! admitting niley with a kiss (: but then they change their minds  haha & demi/sterling (: not jemi but still cute,2,positive
709a86fd4a,Taping at Cox then picking up starbucks for the office bc I am so nice,2,positive
1407d73622, i do show some discretion occasionally,0,negative
967f203b7c, Oh my goodness!  How AWFUL,1,neutral
33a8872ade,  Just amazes the heck out of me still....this 'internet thing',2,positive
3d5b85833e," I`ve lost count of the number I`ve rung today already    Were going to Wales, but I`m due in court on monday!",1,neutral
22313620e6,is in mourning that he is having to miss the homesssssskooooler fair today!!!,0,negative
719310ab14," i would direct message you regarding blogging while brown, but a sista hasn`t mastered that technique yet  ..lol",1,neutral
fa2e1c027e, it doesn`t work with the iPhone yet   I love it for the simplicity but I need to be able to sort tasks on my iPhone to be useful,1,neutral
65a9dd6348, byeeeee,1,neutral
1c71a17783,"Dilemma, what to wear: Now: SanFran Foggy and 58 , then Sacramento in cple hrs sun and 86 degr .",1,neutral
f6e929a6ac,Spent last night in A&E (ER). Wife tangled wheels with Daughter & hit the deck. Dislocation & fracture resulted.,1,neutral
b67e7e9504,On the train now. I forgot by charger  that means no whoshere for me today till I get home haha!  but I`d still tweet u guys! ****,1,neutral
c36155ddc2,i`ve just open this thing,1,neutral
815b3483b3, Thank You Clayton. Going to my favorite Greek Resturant after church for mom`s Day!!!!  Loved you on Huckabee,2,positive
910fc24293,"just got back from hangin with the bestie at the pool, soo nice",2,positive
e2ab7607a8,can`t find her favorite Nike shorts,1,neutral
aca65143ab, I left mine in music...i think i don`t have a camera anymore,1,neutral
6b2d7e4201, twitter tends to do that to us,1,neutral
809f79aeac,_Atticus Thank you,2,positive
69fccdcbe8," aww yeah, it`s more fun revising with others but you get distracted easier >.< yeah I`m tired, revising history",1,neutral
6bed719d7a,Made it to Wisconsin... Now off to Golden Corral again! dang! lol we missed the graduation! tho  Dang!,0,negative
