id,text,label,label_text
e4773d2652,Mode: Home Office,1,neutral
20a60fc55e, oh oh oh are you offering to send ducks!  I love love love confit duck,2,positive
ec9d1b65a5,off to glue stuff onto poster,1,neutral
41db476dcc,Beautiful Day..takn it down twitters  tell ALL mothers Happy Mothers Day,2,positive
e8b44acc78," Likewise. However, what was the comment about originally?",1,neutral
7ded28159b,wished didnt spend money last night,0,negative
64d7ee6da7, yo wake your **** up  and go to work  go get that paper  u aint sick dont lie,0,negative
dd8b781cd9," Good night.  Sorry I missed you during our morning window.  See you at 5, I suspect.",1,neutral
3e44fbf1fd,Such a beautiful morning,2,positive
361f68746b, whats with u hating on becky soo much? ur bio says ur nice....guess not,1,neutral
4e31654f5e,90210 9pm  I laaaaaaaaave it.,2,positive
e2ab8995d1,Nooo...i forgot my calculator for physics   oh well class is allmost over :3,0,negative
e3e793b8f5," whats twhirl? I`ve some work to be doing over the weekend thank god so I`m probably going to miss it red, sorry",1,neutral
e409c6bca9,Shower head broke while i was in the shower and shot straight @ my head.may get a welt later on from it,0,negative
119b073916, I left that for people to complete,1,neutral
3deb1d0ec0,going out to see star trek   be back in a while,1,neutral
14457664da,arrghh stupid eczema      i have to go soon. sort it OUT! :/,0,negative
e4eed099b7,"  I love you, though!",2,positive
b0a274d394, very long by the sounds of things... But deadlines are Deadlines...,1,neutral
4d5a8b6e13,TGIF... Hubby dragged me out to buy car parts. I am tired n cranky,0,negative
f109c266e1,"Today is my first real mothers day with my son actually here  he wasn`t born yet last year , can`t wait to hug him when I get home",2,positive
3c3b471263,happy mother`s day,2,positive
f6058b438d,I wonder how effective these street preachers are....   http://twitpic.com/67qhz,2,positive
b05aa7feb8,wondering if anyone has seen my cell phone i cant find it anywhere,0,negative
abad92a959," Since obviously living in Alaska, only a few radio stations we get here.",1,neutral
bf66ea6dac,its getting really windy out there,1,neutral
9f32877698,"DH at work, DD7 at party. Seriously thinking of treating DS9 and myself to sushi lunch - after all, it IS Mother`s Day here!",1,neutral
a2b7bc3f2a, psh... I`m not cool enough to go to their open-houses.,0,negative
827e3beeb4, No I haven`t made my page yet.  Had to work,1,neutral
7aed9d9b0f,At the dentist for Hopes first check up. Lets she how she handles a dentist.,1,neutral
8a1c165380,I dont believe in my eyes or should I say on my browser? OMG OMG OMG,0,negative
aa06c3a9f0, a whole season behind the US now,1,neutral
43f6e87959,It`s 11:05 and I`m already on my lunch break,1,neutral
5c879c9f2c,last night in newport,1,neutral
8e1182a1ee, I can`t shes taken my keys to muh car.,1,neutral
a4ba901f22,  just listened to the songs on your myspace.  really good,2,positive
8a86863e1f, SSSSSSSSSSMACK!!!! Get back at it girl!  Are you doing WW?,1,neutral
e4ea7144ce,"morning, still trying to find a babysitter, there is a creche at the gym so might leave him there, but just know he won`t be happy",0,negative
47e950b292, I can`t work out if you`re into diesel or rice burners.,0,negative
e3dfffb668, Ich will auch zu Pinkpop,1,neutral
83f3b8d9c9,Oh good. I get to be the gooseberry all night now that katy isn`t coming,2,positive
279f65d93a,is wondering why no one else is following it....  C`mon people!,1,neutral
1265739e54," Good luck  I wanna see them again too. I waited outside by their buses to see them before, no autographs tho!",2,positive
a946021754,has plopped TWICE! TWICE!  http://plurk.com/p/svs0y,0,negative
